NOM_MUN,CVE_MUN,POB_TOT,ANALF,SBASC,OVSDE,OVSEE,OVSAE,OVPT,VHAC,PL.5000,PO2SM,IM_2020,GM_2020,IMN_2020,INS_911
Aconchi,26001,2563,2.69172168613509,37.1254443880142,0.780335544284042,0.858369098712446,0.702301989855638,0.312134217713617,16.3291130065918,100.0,66.8693009118541,57.175872769858,Muy bajo,0.895294594455429,1.0
Agua Prieta,26002,91929,1.48820272059709,26.0195175564277,0.203681599667101,1.03589496506866,0.618723786370555,0.946196050945648,17.6104583740234,0.979016414841889,81.0656591974987,58.6321202733079,Muy bajo,0.918097403662658,2183.0
Alamos,26003,24976,8.10752688172043,41.6566340845065,7.84533932295845,4.0871169581261,5.19011711856249,10.7697244394529,26.7593765258789,56.113869314542,75.7322667921421,53.436431860847,Medio,0.836740154095614,75.0
Altar,26004,9492,3.43392299687825,35.0897417396932,1.14467408585056,0.932697403285639,1.02808691043985,1.0179196267628,23.0188674926758,11.0935524652339,89.689880304679,57.2549161127697,Muy bajo,0.89653230319879,43.0
Arivechi,26005,1177,3.26576576576577,45.9126539753639,0.256629597946963,3.25064157399487,0.0855431993156544,1.8819503849444,10.9974422454834,100.0,60.2272727272727,56.7328167011922,Muy bajo,0.888356953032554,0.0
Arizpe,26006,2788,2.8110599078341,41.4515847006865,0.682961897915169,0.611071171818835,0.611071171818835,1.61754133716751,10.9730844497681,100.0,68.7269372693727,57.2258475694119,Muy bajo,0.89607713026524,1.0
Atil,26007,626,2.03252032520325,33.7594696969697,1.11821086261981,0.479233226837061,0.798722044728434,0.638977635782748,10.4712038040161,100.0,66.5024630541872,57.6798790210215,Muy bajo,0.903186630910294,0.0
Bacadéhuachi,26008,979,4.21994884910486,50.5115089514066,0.612870275791624,0.102145045965271,0.102145045965271,1.7364657814096,10.1156072616577,100.0,80.3076923076923,56.5757785718752,Muy bajo,0.88589795448142,0.0
Bacanora,26009,759,5.15463917525773,53.4364261168385,1.46862483311081,0.267022696929239,0.400534045393859,0.667556742323097,14.34108543396,100.0,69.4656488549618,56.473778852233,Bajo,0.884300780827435,1.0
Bacerac,26010,1221,3.6144578313253,43.592552026287,2.87120590648072,1.55865463494668,0.410172272354389,0.820344544708778,12.4010553359985,100.0,81.0234541577825,56.0834054648813,Bajo,0.878188076874109,2.0
Bacoachi,26011,1475,3.00945829750645,43.0782459157352,0.135961930659415,1.29163834126445,0.135961930659415,0.271923861318831,6.8359375,100.0,72.4070450097847,57.2258410577153,Muy bajo,0.896077028301134,0.0
Bácum,26012,23151,3.896476529324,35.2520543499023,2.95243542922515,0.90201082412989,1.49601795221543,6.23790251627661,26.2754306793213,72.6232128201806,79.1307347361159,55.8500469062158,Bajo,0.874534006616465,0.0
Banámichi,26013,1825,2.33406272793581,29.1028446389497,0.21953896816685,0.493962678375412,0.109769484083425,0.548847420417124,10.2836875915527,100.0,56.0160427807487,58.3416456049774,Muy bajo,0.913548974617608,0.0
Baviácora,26014,3191,2.33494363929147,37.6006441223833,0.503778337531486,0.0944584382871537,0.157430730478589,0.44080604534005,10.2983636856079,100.0,68.9108910891089,57.6960053400689,Muy bajo,0.903439146623166,0.0
Bavispe,26015,1169,2.36406619385343,54.2553191489362,0.940975192472198,0.171086398631309,0.171086398631309,0.0,11.1111106872559,100.0,70.3170028818444,57.0909438630272,Muy bajo,0.893964725972184,0.0
Benjamín Hill,26016,4988,2.63157894736842,30.5480195333695,0.802246289610911,1.46409947853991,1.16325711993582,1.22342559165664,14.9156942367554,100.0,60.5616605616606,57.4074407078711,Muy bajo,0.898920626085708,0.0
Caborca,26017,89122,2.95416896742131,30.2426803949848,0.505745544622583,0.829147457510493,0.879607330443359,2.52540312406817,18.4115104675293,18.355737079509,79.9899220283244,57.9384484648941,Muy bajo,0.907235468543648,1796.0
Cajeme,26018,436484,1.66341091550135,18.881671493816,0.419393683126815,0.408813269540999,0.838323903721441,1.51080591636561,14.0964803695679,8.67065001237159,62.9260128673274,59.6178883034836,Muy bajo,0.933533159096698,14825.0
Cananea,26019,39451,0.887376801936095,17.5273360857516,0.18309894972408,0.33822444879587,0.18055590875569,0.65101848790784,12.1959667205811,3.39154901016451,74.0585233512047,59.6750634488765,Muy bajo,0.934428442301442,448.0
Carbó,26020,4946,3.66638678981248,40.8900083963056,0.815494393476045,1.71253822629969,0.448521916411825,1.63098878695209,20.8183784484863,100.0,74.3100852985449,56.1536324722873,Bajo,0.879287734073369,0.0
La Colorada,26021,1848,3.77747252747253,49.3131868131868,1.09709270433352,2.4603608529251,0.438837081733407,2.68787712561711,16.1242599487305,100.0,56.27425614489,56.5022855102437,Bajo,0.88474715541844,2.0
Cucurpe,26022,863,3.27380952380952,45.9821428571429,1.27462340672074,4.98261877172654,0.463499420625724,0.926998841251448,6.98412704467773,100.0,66.358024691358,56.134818243072,Bajo,0.8789931294281,2.0
Cumpas,26023,5829,1.86500888099467,29.9422648125024,0.27458383387678,0.360391281963274,0.463360219667067,0.789428522395744,7.84946250915527,100.0,51.1241446725318,58.6622295656059,Muy bajo,0.918568873276175,7.0
Divisaderos,26024,753,2.10526315789474,39.2982456140351,0.0,0.0,0.0,0.0,9.91735553741455,100.0,73.0769230769231,57.668957954668,Muy bajo,0.903015622210324,0.0
Empalme,26025,51431,2.27100878679634,26.4224663972133,0.734576871777517,0.41008898532837,0.760456273764259,2.9840941213943,19.3934879302979,24.3919037156579,67.8671364908281,58.5098275043083,Muy bajo,0.916182469098091,905.0
